step,x,y,reward,done,action
0,1,2,0,False,3
1,1,2,0,False,2
2,1,2,0,False,3
3,1,2,0,False,2
4,1,2,0,False,3
5,0,2,0,False,3
6,0,3,0,False,0
7,1,4,0,False,2
8,2,4,0,False,0
9,2,3,0,False,1
10,3,2,0,False,2
11,4,1,0,False,1
12,3,0,0,False,3
13,3,0,0,False,2
14,3,0,0,False,3
15,3,0,0,False,2
16,4,1,0,False,0
17,4,3,0,False,0
18,4,4,0,False,0
19,4,4,0,False,0
20,4,4,0,False,0
21,4,4,0,False,0
22,4,4,0,False,2
23,3,4,0,False,3
24,3,4,0,False,2
25,4,4,0,False,0
26,4,4,0,False,2
27,3,4,0,False,3
28,2,4,0,False,0
29,2,3,0,False,1
30,2,1,0,False,1
31,2,0,0,False,1
32,3,0,0,False,2
33,4,0,0,False,1
34,4,1,0,False,0
35,4,2,0,False,2
36,4,3,0,False,0
37,4,3,0,False,1
38,4,2,0,False,2
39,4,2,0,False,2
40,4,1,0,False,1
41,4,0,0,False,2
42,4,1,0,False,0
43,3,2,0,False,3
44,3,2,0,False,2
45,3,2,0,False,3
46,2,1,0,False,1
47,1,0,0,False,3
48,0,0,0,False,3
49,0,1,0,False,0
50,0,2,0,False,3
51,0,1,0,False,1
52,0,0,0,False,1
53,1,0,0,False,2
54,2,0,0,False,1
55,2,0,0,False,1
56,2,0,0,False,1
57,1,0,0,False,3
58,0,0,0,False,1
59,1,0,0,False,2
60,1,0,0,False,3
61,0,0,0,False,3
62,1,0,0,False,2
63,1,0,0,False,3
64,0,0,0,False,1
65,0,0,0,False,3
66,0,1,0,False,0
67,0,2,0,False,3
68,0,1,0,False,1
69,1,0,0,False,2
70,2,1,0,False,0
71,1,2,0,False,3
72,0,3,0,False,0
73,0,4,0,False,0
74,0,3,0,False,1
75,0,3,0,False,0
76,0,3,0,False,1
77,1,2,0,False,2
78,2,1,0,False,1
79,2,1,0,False,0
80,2,1,0,False,1
81,1,0,0,False,3
82,1,0,0,False,2
83,2,0,0,False,1
84,2,1,0,False,0
85,1,2,0,False,3
86,0,3,0,False,0
87,0,4,0,False,0
88,0,3,0,False,1
89,1,2,0,False,2
90,3,2,0,False,2
91,4,2,0,False,2
92,4,3,0,False,0
93,4,4,0,False,2
94,3,4,0,False,3
95,2,4,0,False,0
96,3,4,0,False,2
97,3,4,0,False,3
98,1,4,0,False,3
99,0,4,0,False,3
100,1,4,0,False,2
101,2,3,0,False,1
102,3,2,0,False,2
103,3,2,0,False,3
104,1,2,0,False,3
105,1,2,0,False,2
106,3,2,0,False,2
107,4,2,0,False,2
108,4,1,0,False,1
109,4,0,0,False,1
110,4,0,0,False,2
111,4,0,0,False,2
112,3,0,0,False,3
113,1,0,0,False,3
114,0,0,0,False,3
115,1,0,0,False,2
116,1,0,0,False,3
117,0,1,0,False,0
118,0,1,0,False,1
119,0,0,0,False,3
120,0,0,0,False,3
121,1,0,0,False,2
122,1,0,0,False,3
123,0,0,0,False,3
124,0,0,0,False,1
125,0,0,0,False,3
126,0,0,0,False,3
127,0,0,0,False,3
128,0,0,0,False,1
129,0,0,0,False,3
130,1,0,0,False,2
131,1,0,0,False,3
132,0,0,0,False,3
133,1,0,0,False,2
134,1,0,0,False,3
135,1,0,0,False,2
136,2,1,0,False,0
137,2,1,0,False,1
138,1,0,0,False,3
139,0,0,0,False,1
140,0,1,0,False,0
141,0,3,0,False,0
142,0,3,0,False,1
143,1,2,0,False,2
144,3,2,0,False,2
145,3,2,0,False,3
146,2,1,0,False,1
147,2,0,0,False,1
148,3,0,0,False,2
149,4,1,0,False,0
150,4,2,0,False,2
151,4,1,0,False,1
152,3,0,0,False,3
153,2,1,0,False,0
154,2,3,0,False,0
155,3,4,0,False,2
156,4,4,0,False,2
157,4,3,0,False,1
158,4,3,0,False,0
159,3,4,0,False,3
160,3,4,0,False,2
161,4,3,0,False,1
162,4,2,0,False,2
163,4,1,0,False,1
164,4,0,0,False,1
165,4,0,0,False,1
166,4,0,0,False,1
167,4,1,0,False,0
168,4,1,0,False,1
169,4,0,0,False,2
170,4,0,0,False,2
171,4,1,0,False,0
172,4,1,0,False,1
173,4,0,0,False,2
174,4,1,0,False,0
175,4,1,0,False,1
176,3,0,0,False,3
177,1,0,0,False,3
178,0,0,0,False,3
179,0,0,0,False,3
180,0,0,0,False,3
181,0,1,0,False,0
182,1,2,0,False,2
183,2,1,0,False,1
184,2,0,0,False,1
185,3,0,0,False,2
186,4,0,0,False,1
187,4,0,0,False,1
188,4,0,0,False,1
189,4,0,0,False,2
190,4,0,0,False,1
191,4,1,0,False,0
192,4,2,0,False,2
193,4,2,0,False,2
194,4,2,0,False,2
195,4,1,0,False,1
196,3,0,0,False,3
197,3,0,0,False,2
198,4,0,0,False,1
199,4,1,0,False,0
200,4,3,0,False,0
201,4,4,0,False,0
202,4,4,0,False,0
203,4,4,0,False,2
204,4,4,0,False,2
205,4,4,0,False,2
206,4,3,0,False,1
207,3,2,0,False,3
208,2,1,0,False,1
209,3,0,0,False,2
210,4,0,0,False,1
211,4,0,0,False,1
212,4,0,0,False,1
213,4,0,0,False,1
214,3,0,0,False,3
215,1,0,0,False,3
216,1,0,0,False,2
217,2,1,0,False,0
218,2,1,0,False,1
219,3,0,0,False,2
220,3,0,0,False,3
221,1,0,0,False,3
222,0,0,0,False,3
223,0,0,0,False,1
224,0,0,0,False,1
225,0,0,0,False,3
226,0,0,0,False,3
227,0,0,0,False,3
228,1,0,0,False,2
229,1,0,0,False,3
230,1,0,0,False,2
231,2,0,0,False,1
232,2,0,0,False,1
233,2,0,0,False,1
234,3,0,0,False,2
235,4,0,0,False,1
236,3,0,0,False,3
237,1,0,0,False,3
238,1,0,0,False,2
239,2,0,0,False,1
240,2,1,0,False,0
241,2,1,0,False,1
242,1,0,0,False,3
243,0,0,0,False,3
244,1,0,0,False,2
245,2,1,0,False,0
246,2,3,0,False,0
247,1,4,0,False,3
248,1,4,0,False,2
249,1,4,0,False,3
250,1,4,0,False,2
251,2,3,0,False,1
252,3,2,0,False,2
