step,x,y,reward,done,action
0,2,2,0,False,0
1,2,3,0,False,1
2,2,2,1,False,2
3,3,2,0,False,1
4,3,1,0,False,3
5,2,1,0,False,3
6,1,1,0,False,0
7,1,2,0,False,2
8,2,2,1,False,0
9,2,3,0,False,3
10,1,3,0,False,3
11,0,3,0,False,0
12,0,4,0,False,0
13,0,4,0,False,2
14,1,4,0,False,2
15,2,4,0,False,3
16,1,4,0,False,3
17,0,4,0,False,3
18,0,4,0,False,1
19,0,3,0,False,3
20,0,3,0,False,2
21,1,3,0,False,1
22,1,2,0,False,0
23,1,3,0,False,3
24,0,3,0,False,0
25,0,4,0,False,3
26,0,4,0,False,0
27,0,4,0,False,3
28,0,4,0,False,3
29,0,4,0,False,1
30,0,3,0,False,1
31,0,2,0,False,1
32,0,1,0,False,3
33,0,1,0,False,3
34,0,1,0,False,2
35,1,1,0,False,2
36,2,1,0,False,1
37,2,0,0,False,1
38,2,0,0,False,0
39,2,1,0,False,2
40,3,1,0,False,3
41,2,1,0,False,1
42,2,0,0,False,2
43,3,0,0,False,3
44,2,0,0,False,1
45,2,0,0,False,1
46,2,0,0,False,0
47,2,1,0,False,3
48,1,1,0,False,1
49,1,0,0,False,0
50,1,1,0,False,0
51,1,2,0,False,2
52,2,2,1,False,3
53,1,2,0,False,3
54,0,2,0,False,1
55,0,1,0,False,1
56,0,0,0,False,0
57,0,1,0,False,2
58,1,1,0,False,0
59,1,2,0,False,1
60,1,1,0,False,0
61,1,2,0,False,3
62,0,2,0,False,1
63,0,1,0,False,0
64,0,2,0,False,1
65,0,1,0,False,3
66,0,1,0,False,1
67,0,0,0,False,2
68,1,0,0,False,2
69,2,0,0,False,0
70,2,1,0,False,3
71,1,1,0,False,0
72,1,2,0,False,0
73,1,3,0,False,2
74,2,3,0,False,1
75,2,2,1,False,0
76,2,3,0,False,2
77,3,3,0,False,0
78,3,4,0,False,1
79,3,3,0,False,2
80,4,3,0,False,3
81,3,3,0,False,3
82,2,3,0,False,3
83,1,3,0,False,0
84,1,4,0,False,0
85,1,4,0,False,1
86,1,3,0,False,3
87,0,3,0,False,1
88,0,2,0,False,2
89,1,2,0,False,2
90,2,2,1,False,1
91,2,1,0,False,1
92,2,0,0,False,2
93,3,0,0,False,1
94,3,0,0,False,2
95,4,0,0,False,1
96,4,0,0,False,1
97,4,0,0,False,0
98,4,1,0,False,0
99,4,2,0,False,0
100,4,3,0,False,1
101,4,2,0,False,1
102,4,1,0,False,2
103,4,1,0,False,2
104,4,1,0,False,1
105,4,0,0,False,3
106,3,0,0,False,2
107,4,0,0,False,0
108,4,1,0,False,3
109,3,1,0,False,3
110,2,1,0,False,2
111,3,1,0,False,3
112,2,1,0,False,2
113,3,1,0,False,2
114,4,1,0,False,3
115,3,1,0,False,1
116,3,0,0,False,2
117,4,0,0,False,1
118,4,0,0,False,0
119,4,1,0,False,0
120,4,2,0,False,1
121,4,1,0,False,3
122,3,1,0,False,3
123,2,1,0,False,1
124,2,0,0,False,3
125,1,0,0,False,2
126,2,0,0,False,2
127,3,0,0,False,3
128,2,0,0,False,1
129,2,0,0,False,1
130,2,0,0,False,0
131,2,1,0,False,3
132,1,1,0,False,0
133,1,2,0,False,0
134,1,3,0,False,2
135,2,3,0,False,3
136,1,3,0,False,2
137,2,3,0,False,2
138,3,3,0,False,0
139,3,4,0,False,1
140,3,3,0,False,1
141,3,2,0,False,0
142,3,3,0,False,2
143,4,3,0,False,0
144,4,4,0,False,0
145,4,4,0,False,1
146,4,3,0,False,2
147,4,3,0,False,2
148,4,3,0,False,0
149,4,4,0,False,1
150,4,3,0,False,1
151,4,2,0,False,1
152,4,1,0,False,1
153,4,0,0,False,0
154,4,1,0,False,3
155,3,1,0,False,3
